publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-04-22T19:02:33Z,@user-gz2uf2oi3h,tolong pa Prabowo Anis korupsi nanti kalo udah dilantikharus di usut,0.0,
2024-04-22T17:31:55Z,@Suprianto-xp3or,Bahagia bgt pilihan saya menang,0.0,
2024-04-22T09:29:53Z,@kintamani9365,"Pesanku Prabowo RI I, Gibran RR RI II,  jgn jadikan Menteri Anis dan Muhaimin itu saja, jika Ganjar dan Mahfud silahkan.",0.0,
2024-04-20T09:31:52Z,@ridwannefendi7611,Alhamdulillah pak prabowo presiden,0.0,
2024-04-20T05:11:45Z,@dedySyaputra-ep8ff,Kami bangga pak Prabowo menang merdeka,0.0,
2024-04-20T02:30:59Z,@EdiJunaedi-mk5ko,"Abai kan aja,pasangan yg ga siap nerima kekalahan nya.",0.0,
2024-04-08T13:58:39Z,@fftessa1855,Kami pendukung 02 mengucapkan selamat ya pa prabowo persiden kami yg baru ❤️❤️👍👍,2.0,
2024-03-28T17:50:39Z,@AzmiWibawa,Jgn sia2kan perjuangan bapak sampai tetes darah penghabisan saya akan tetap membela bapak,0.0,
2024-03-24T17:34:54Z,@zxxyzxxy4835,Yg kalah stres mikirin uang kampanye yg hilang😂,0.0,
2024-03-24T17:32:44Z,@rianbessing9609,"Berkat Rakyat jangan lpa Pak Jenderal dengan kami rakyat yg masih setia selalu mendukung bapak dari jaman era pak jokowi 2 periode.. Semoga Bapak menjadi pemimpin yg amanah, bijaksana, jujur dan sayang rakyat Indonesia🎉🎉🎉🎉yes paslon 02",0.0,
2024-03-24T08:36:59Z,@gebyarnovita3233,"Mantap,, prabowo gibran menang Indonesia maju",0.0,
2024-03-21T04:37:06Z,@ifayafriliano...8358,Ngimpi .,0.0,
2024-03-21T04:13:22Z,@muhammadfakih-ju6xi,Alhamdulillah 02 menang✌️✌️✌️✌️,0.0,
2024-03-21T03:06:31Z,@user-kv8qr1ug6t,Selamat ya bpk prabowo subianto atas kemenangan bpk menjadi president RI 1 sehat selalu tuk membangun Indonesia emas ❤❤❤,8.0,
2024-05-07T04:56:46Z,@abdulhalim5410,Beginilah konoha😂 lu punya duit lu berkuasa,0.0,
2024-05-02T16:44:25Z,@nastaimcs276,Alhamdulillah,0.0,
2024-05-02T03:07:06Z,@W_W_W_W_W_W_W_W_W_W_W_W_W_W_W,Saya yang merasakan kalau prabowo-gibran itu bener-bener kerja nyata,0.0,
2024-05-02T01:53:09Z,@RuangGaming9813,"jadilah lebih baik dari yang terbaik pak,semoga tetap amanah💪 sampai kapan pun",0.0,
2024-05-01T16:15:51Z,@lisnalisna4501,KEHANCURAN HUKUM DN NEGARA KETIKA PALU DN HUKUM BERADA DI MULUT ANJEENG..😂😂😂😂,0.0,
2024-04-30T10:33:14Z,@babebedhot9693,Jelas hitunganya pro pabowo tambah pro gibran jadi satu tambah yg dulu golput dan masyarakat luar pulau jawa semua prabowo,0.0,
2024-04-30T00:41:21Z,@user-yp3px3xp4i,ada yang kepanasan nih ada yang ngoceh ngoceh nih ada yang masih mau demo gak ya,0.0,
2024-04-29T03:50:54Z,@husnanarifin8074,"Selamat jendralku semoga masih di beri kesehatan umur panjang dan barokah , kami rakyat kecil menunggu bimbinganmu jendral",0.0,
2024-04-28T21:30:50Z,@nikomora-nu3sb,"selamat kepada bapak Prabowo dan Gibran atas kemenangan nya,smoga sukses slalu",0.0,
2024-04-28T19:49:11Z,@andhikanugraha33,Begitu humble nya pak prabowo ketika menyalami anis,0.0,
2024-04-28T10:17:22Z,@depiherdiansyah1158,hidup 02 prabowo gibran yg unggul di setiap tps seluruh indo,0.0,
2024-04-27T15:57:39Z,@user-de6hb9qp8l,"Semoga amanah & romantis sampai akhir masa jabatan pak prabowo, mas gibran..",0.0,
